;;;;;;;
Ocorrências de alagamento - 2007 a 2016 - SP;;;;;;;
;;;;;;;
DATA;LOCAL;REFERENCIA;SENTIDO;INICIO;FIM;SITUAÇÃO;SUB
09/03/16;ABRAÃO DE MORAIS, AV. PROF.;LEONOR KAUPA, PÇ.;SANTOS/SP;30/12/1899 17:55:00;30/12/1899 18:42:00;Intransitável;IP
15/11/09;ABRAÃO DE MORAIS, AV. PROF.;LEONOR KAUPA, PÇ.;SANTOS/SP;30/12/1899 09:56:00;30/12/1899 11:25:00;TRANSITÁVEL;IP
04/06/08;ABRAÃO DE MORAIS, AV. PROF.;LEONOR KAUPA, PÇ.;B/C;30/12/1899 01:50:00;30/12/1899 04:14:00;TRANSITÁVEL;IP
19/12/07;ABRAÃO DE MORAIS, AV. PROF.;MIGUEL ESTEFANO, AV.;SP/SANTOS;30/12/1899 14:20:00;30/12/1899 15:40:00;TRANSITÁVEL;IP
28/01/10;ABRAÃO DE MORAIS, AV. PROF.;MIGUEL ESTEFANO, AV.;SP/SANTOS;30/12/1899 16:09:00;30/12/1899 16:12:00;TRANSITÁVEL;IP
17/02/10;ABRAÃO DE MORAIS, AV. PROF.;MIGUEL ESTEFANO, AV.;SP/SANTOS;30/12/1899 19:40:00;30/12/1899 20:03:00;TRANSITÁVEL;IP
07/01/07;ABRAÃO DE MORAIS, AV. PROF.;RIBEIRO LACERDA, R.;SP/SANTOS;30/12/1899 18:24:00;30/12/1899 21:20:00;TRANSITÁVEL;IP
05/12/15;ABRAÃO DE MORAIS, AV. PROF.;RIBEIRO LACERDA, R.;SANTOS/SP;30/12/1899 19:29:00;30/12/1899 20:09:00;Intransitável;IP
14/03/07;ABRAÃO DE MORAIS, AV. PROF.;RIBEIRO LACERDA, R.;SANTOS/SP;30/12/1899 16:03:00;30/12/1899 17:45:00;TRANSITÁVEL (I);IP
16/03/15;ABRAÃO DE MORAIS, AV. PROF.;RIBEIRO LACERDA, R.;AMBOS;30/12/1899 15:23:00;30/12/1899 15:54:00;Intransitável;IP
15/12/11;ABRAÃO DE MORAIS, AV. PROF.;RIBEIRO LACERDA, R.;AMBOS;30/12/1899 01:27:00;30/12/1899 02:19:00;INTRANSITÁVEL;IP
23/01/11;ABRAÃO DE MORAIS, AV. PROF.;RIBEIRO LACERDA, R.;SP/SANTOS;30/12/1899 22:40:00;30/12/1899 23:10:00;TRANSITÁVEL;IP
21/02/11;ABRAÃO DE MORAIS, AV. PROF.;RIBEIRO LACERDA, R.;SP/SANTOS;30/12/1899 14:41:00;30/12/1899 15:40:00;INTRANSITÁVEL;IP
20/02/11;ABRAÃO DE MORAIS, AV. PROF.;RIBEIRO LACERDA, R.;AMBOS;30/12/1899 17:53:00;30/12/1899 20:14:00;TRANSITÁVEL;IP
